key_id,bvid,videos,tid,tname,pic,title,pubdate,ctime,descr,duration,is_cooperation,owner_name,owner_id,aid,view,danmaku,reply,favorite,coin,share,likes,now_rank,his_rank,vt,vv,cid,short_linke_v2,pub_location
11,BV1wC4y1E7ue,5,171,电子竞技,http://i1.hdslb.com/bfs/archive/8e740ee6c3e586c4dd26ba1041d757e8c5eb962c.jpg,【2023全球总决赛】11月12日 半决赛 JDG vs T1,1699779851,1699779851,【2023全球总决赛】11月12日 半决赛 JDG vs T1,14132,0,哔哩哔哩英雄联盟赛事,50329118,748271512,2381433,45128,24616,3527,5099,1625,21056,0,0,0,2381433,1329940574,https://b23.tv/BV1wC4y1E7ue,上海
12,BV1vu4y1N7SA,1,171,电子竞技,http://i1.hdslb.com/bfs/archive/ff2750c9cda731bd3374feb1a217af108aaad6a9.jpg,Faker魔王再现，JDG百炼成京失败，WBG上限冠军成最后希望！| 米勒赛事速递 半决赛 Day2,1699810766,1699810766,Faker是真的值得尊敬，十年如一日。JDG一年的发挥也足够出色，可惜倒在了这里。希望给到WBG，决赛加油！,458,0,解说米勒,692277525,920840632,469718,3214,4102,1645,4766,254,22028,0,0,0,469718,1330374192,https://b23.tv/BV1vu4y1N7SA,上海
13,BV1mg4y1X7GE,1,171,电子竞技,http://i1.hdslb.com/bfs/archive/9dbd3fcef7efb463a4972586a9e90e77751b537d.jpg,半决赛胜负预测，一个视频带你看懂世界赛的版本现状！,1699460507,1699460507,,1043,0,东南倾丶,11720519,833132513,605147,2336,6835,3954,10708,6145,20961,0,0,0,605147,1326055347,https://b23.tv/BV1mg4y1X7GE,江苏
14,BV1xj411h72w,1,85,小剧场,http://i1.hdslb.com/bfs/archive/a5413460c9137476f569612bfefc3e43181cf17a.jpg,当电诈分子遇到开挂保安,1699761600,1699606690,-,302,0,薪儿姐师尊,388477943,450675123,1017952,3297,990,5091,8990,5872,89490,0,0,0,1017952,1329176940,https://b23.tv/BV1xj411h72w,重庆
15,BV1QN4y1D7Hs,1,171,电子竞技,http://i1.hdslb.com/bfs/archive/13093a41b157bed8f0c9403c596832e34aa9dc5c.jpg,“Faker不用向众神祈祷，因为众神回应的是他的名号！”,1699797125,1699797126,“Faker不用向众神祈祷，因为众神回应的是他的名号！”,78,0,白茶-峡谷摄影师,436152539,875819233,818700,784,2810,4810,6926,5124,43064,0,0,0,818700,1330205264,https://b23.tv/BV1QN4y1D7Hs,陕西
16,BV1aQ4y187Wq,1,76,美食制作,http://i2.hdslb.com/bfs/archive/0c5904152b2e14eb5586df491b7cf17fb2df1da5.jpg,东北不能失去酸菜之三周探索版！,1699762066,1699762066,这就是腌酸菜的魅力！,883,0,手艺贾,22089099,705818469,859864,8513,3838,4901,14682,2751,89799,0,99,0,859864,1329565707,https://b23.tv/BV1aQ4y187Wq,辽宁
17,BV1Ta4y1S7od,1,171,电子竞技,http://i1.hdslb.com/bfs/archive/961168e7bd21f00a2c4eab04c20c4853aaf75d10.jpg,Faker晋级决赛瞬间，眼睛泛着泪光，盯着屏幕久久不能忘怀！,1699794493,1699794493,,131,0,电竞Demo,39756291,663250083,461967,723,2516,3789,3576,1951,9951,0,0,0,461967,1330152514,https://b23.tv/BV1Ta4y1S7od,山西
18,BV1zg4y197jo,1,172,手机游戏,http://i2.hdslb.com/bfs/archive/e0279cb5445e02a0acc4e065e33803f49110f828.jpg,一不小心九段了,1699786120,1699786120,报一丝儿啊抱一丝，一不小心成了“九段棋手”了～让三子？根本难不倒我好吧！策略之鹰登场，让你们见识见识我的“大智慧”！,412,0,棋手战鹰,2051617240,833298836,1111578,2056,1197,11060,16232,2061,41804,0,0,0,1111578,1329993267,https://b23.tv/BV1zg4y197jo,北京
19,BV1uj411a7xW,1,250,出行,http://i2.hdslb.com/bfs/archive/1c2c9c3a59d562be330ede9ca30146374e163549.jpg,大连一座让人生活惬意的城市，每个人在这都值得无忧无虑。,1699705664,1699705665,-,212,0,superB太,85754245,450821126,1764930,4918,5496,4553,13366,2474,159929,0,31,0,1764930,1329056151,https://b23.tv/BV1uj411a7xW,辽宁
20,BV1Jg4y197YW,4,172,手机游戏,http://i2.hdslb.com/bfs/archive/6d63cfa29a7d6a7b1dab0d55328379c9c46e49bb.jpg,《原神》剧情PV-「轻涟」,1699524008,1699440830,"人间灯火倒映湖中，她的渴望让静水泛起涟漪。
若代价只是孤独，那就让这份愿望肆意流淌…
流入她所注视的世间，也流入她如湖水般澄澈的目光。

歌词：

Ah, si je pouvais vivre dans l'eau,
啊，若化水复回归途
le monde serait-il plus beau ?
令故土朝暮如初
Nous pardonneras-tu, ô chère mère ?
啊母亲可否将我宽恕
L'eau dans son courant fait danser nos vies.
向四季流溯",639,0,原神,401742377,833240056,6490644,11631,17016,157940,272831,55079,358799,0,1,0,6490644,1325692190,https://b23.tv/BV1Jg4y197YW,上海
21,BV16Q4y187qK,1,138,搞笑,http://i1.hdslb.com/bfs/archive/eb0f5aad58892a500667d095a5887aa66b5a8dc0.jpg,逆  天  中  配4,1699777330,1699777331,-,169,0,恶人王小花,11814319,705839977,457189,631,391,6903,4922,3435,40378,0,0,0,457189,1329860223,https://b23.tv/BV16Q4y187qK,重庆
22,BV1yC4y1U7HM,1,183,影视剪辑,http://i2.hdslb.com/bfs/archive/9e5ae885376da05dc74963d58b40876710af1990.jpg,当名台词有了回应2,1699756026,1699756027,无广合订重置版,369,0,变相怪杰Mask,472013291,790766581,685469,1495,749,8728,13232,6794,37601,0,0,0,685469,1329539987,https://b23.tv/BV1yC4y1U7HM,山东
23,BV1eG411Q7iH,1,253,动漫杂谈,http://i1.hdslb.com/bfs/archive/e54c9faa48f691a836c8970f87e7c9079c4587b4.jpg,99%的人都没看懂，烧脑神作！一口气看完《海猫鸣泣之时》 ，华丽的开幕！,1699797600,1699716787,"海猫鸣泣之时 第一期
希望看过的观众不要在弹幕剧透 没看过的观众谨慎看评论区",2437,0,中二少年晓凯,2733216,408258540,211934,918,912,9974,10048,1532,16541,0,0,0,211934,1329258349,https://b23.tv/BV1eG411Q7iH,湖北
24,BV11e411D79b,1,250,出行,http://i1.hdslb.com/bfs/archive/631f5a36bf96e4889fd8cdfa24bbbf15748e7c76.jpg,日本人去北京，天津，苏州，杭州，常州,1699791771,1699791772,-,816,0,加藤在中国,5087326,235789079,160217,871,566,1426,2013,1878,13725,0,0,0,160217,1330095595,https://b23.tv/BV11e411D79b,上海
25,BV1X94y137YV,1,162,绘画,http://i0.hdslb.com/bfs/archive/a7d65b51106e42e74db2753ae59898193b8ab8c8.jpg,在毛毯上薅出艾伦,1699700343,1699700343,"有些防滑垫、棉衣棉裤、毛毯……在只有一个方向光源的情况下，可以薅出层次；
《进击的巨人》艾伦·耶格尔；
谢谢大家三连关注；",99,0,咖喱芋圆儿花开富贵儿,444279766,365830922,1030846,713,993,30673,63545,6017,180554,0,20,0,1030846,1328958061,https://b23.tv/BV1X94y137YV,四川
26,BV1vc411X7Lc,1,85,小剧场,http://i0.hdslb.com/bfs/archive/70aecd707c9b9f12bc6c10b8143280fb5599c84d.jpg,大师撤回了一次行骗🙏,1699708664,1699708664,-,86,0,-显眼宝-,34009507,280826604,2864709,987,1235,11296,7934,4254,330799,0,13,0,2864709,1329114945,https://b23.tv/BV1vc411X7Lc,浙江
27,BV14u4y1879q,1,76,美食制作,http://i2.hdslb.com/bfs/archive/0705b74d46a9f5ba555ec3feae1d8f3cb99d4b82.jpg,大学生就业指导(自用版),1699426917,1699426876,自己收藏看的用,96,0,Bboy小光,365673386,918158807,619843,212,592,6772,705,6272,25584,0,0,0,619843,1325470965,https://b23.tv/BV14u4y1879q,山西
28,BV1QH4y1B7QS,1,168,国产原创相关,http://i0.hdslb.com/bfs/archive/d309069deaaf5f77271e30adf02668d3a8003ba4.jpg,童年阴影被封的查理九世，黑贝街的亡灵原版到底讲了什么故事？,1699703100,1699703100,这是第一期，做的特别累，我光是写稿子就写了五个小时，后期处理还花了很长时间，希望大家可以给个三连，这期视频不指望能太火，毕竟只是系列第一期，我是打算把全系列每一本都讲完，但是做这个视频真的耗时又耗精力，如果一直做看不到回报我也会很难受的，所以希望大家可以多给点三连，只要三连总和过一万，我就立马更新下一期,1152,0,许莫灵,472426055,963286751,382772,523,1124,8665,6116,447,16477,0,0,0,382772,1329006997,https://b23.tv/BV1QH4y1B7QS,江苏
29,BV1UG411Q7CF,1,138,搞笑,http://i2.hdslb.com/bfs/archive/40f3a598454c5a2ef9ad3b8586c64c1a1fcda485.jpg,给你们点寄人篱下的压迫感,1699768800,1699611586,,209,0,真子日记,1155574439,408340587,1266845,1199,2376,3902,13603,1428,123908,0,66,0,1266845,1327789823,https://b23.tv/BV1UG411Q7CF,广东
30,BV1mz4y1P7xY,1,182,影视杂谈,http://i0.hdslb.com/bfs/archive/e228673b0448c75860922a0af867ed38e23873ba.jpg,9.7分封神！漫威15年最强剧诞生！洛基“故事之神”最强形态！这一集我实名吹爆,1699712093,1699712093,,977,0,努力的Lorre,7487399,578261625,1604855,2431,3261,18440,20640,6059,94190,0,45,0,1604855,1329176694,https://b23.tv/BV1mz4y1P7xY,北京
31,BV1dM411f7wq,1,21,日常,http://i0.hdslb.com/bfs/archive/b0ae4c1643f132ca5c06cdb719a07834ef496dda.jpg,乐观奋斗的青春万岁！冬泳健身可能有危险，请勿模仿,1699744362,1699744362,-,108,0,朝阳冬泳怪鸽,690748574,535868995,607787,947,1576,3931,43802,776,129184,0,0,0,607787,1329444000,https://b23.tv/BV1dM411f7wq,辽宁
32,BV1ng4y197g4,1,130,音乐综合,http://i2.hdslb.com/bfs/archive/8a62e1edaceac34d00e5009f0ff07243ef46d0e1.jpg,【阿云嘎】原神剧情曲《轻涟》（法语演绎版）,1699762200,1699608357,"原神剧情曲《轻涟》（法语演绎版）现已发布。

出品：HOYO-MiX
作曲：苑迪萌@HOYO-MiX
作词：哈尼/项柳/三宝
演唱：阿云嘎",128,1,原神,401742377,833237909,1478598,6101,7718,22513,40111,13464,122910,0,0,0,1478598,1327712680,https://b23.tv/BV1ng4y197g4,上海
33,BV1BM411f7GG,1,171,电子竞技,http://i1.hdslb.com/bfs/archive/a4fc3e9e5ba3fb5ae4a7fc26271a534f501163f3.jpg,微博挺进决赛靠的不仅仅是 the shy ，20滴血锁住绝不是运气！,1699793408,1699793408,Kanavi但凡学到一半感觉也有机会会师,386,0,打野茶茶,11352614,535843259,290111,277,1068,639,3937,131,15641,0,0,0,290111,1330105836,https://b23.tv/BV1BM411f7GG,上海
34,BV11g4y197cz,1,218,喵星人,http://i2.hdslb.com/bfs/archive/bb67cc481f6facc2c3cd2e3e8f3d7d09093d40a7.jpg,小奶猫把橘猫当成了妈妈，不停靠近渴望得到关爱，却屡屡被拒。,1699704487,1699704488,,162,0,小马爱动物,1857280691,833352811,394101,424,396,2565,6432,323,34014,0,0,0,394101,1329019759,https://b23.tv/BV11g4y197cz,江西
35,BV1Jc411X7fN,1,183,影视剪辑,http://i2.hdslb.com/bfs/archive/d1e69d0d702a4ad24a60e8efcb65606b4e525dc3.jpg,爱你老妈，明天见,1699697754,1699697754,,356,0,追风小哥是阿文,334260848,280817272,548793,937,1331,16872,13461,3054,45432,0,0,0,548793,1328903868,https://b23.tv/BV1Jc411X7fN,浙江
36,BV1cb4y1g7iP,1,182,影视杂谈,http://i0.hdslb.com/bfs/archive/fd6f444a24b4b7857373eb3ac1d5ce9815e9c10d.jpg,清流的手腕有多狠毒？内阁斗争，就是你死我活！国产第一神剧深度拆解！第七回,1699844700,1699797206,求三连，求三连，求三连，求三连，求三连！！！,2068,0,一条闲木鱼,2083634390,620816157,68355,1189,354,1867,5768,125,8127,0,0,0,68355,1330148797,https://b23.tv/BV1cb4y1g7iP,江苏
37,BV1Fu4y1b7Ls,1,201,科学科普,http://i0.hdslb.com/bfs/archive/e1f8fa48601ee00cd51232c0a88e15c453844bf2.jpg,【医学博士】得了破伤风还能活多久？| 这种伤口很有可能是破伤风！,1699696167,1699696167,"每当我们出现暴露性外伤时，都会考虑是否有感染破伤风的风险。
破伤风我们一直都是“只闻其名未见其人”，由于未知而充满恐惧。
今天这期视频带大家拨开“破伤风迷雾”，让大家安全、正确地进行伤口处理。
peace~
您可能还喜欢：
【拒绝油腻】BV1GH4y197gT
【兴奋剂】BV15m4y137Wr
【口腔清洁】BV1HK4y1F76u
【挑选牙膏】BV1h8411i7Hi
【挑选牛奶】BV1zz4y1E7af",630,0,兔叭咯,7788379,918361109,1201988,3162,1853,25031,33396,5004,111450,0,26,0,1201988,1328881220,https://b23.tv/BV1Fu4y1b7Ls,上海
38,BV1cH4y1B7rH,1,130,音乐综合,http://i2.hdslb.com/bfs/archive/4a52f692be35978dd717e6ecb2dd10002b6be957.jpg,【谭维维】原神剧情曲《轻涟》（中文演绎版）,1699761600,1699608344,"原神剧情曲《轻涟》（中文演绎版）现已发布。

出品：HOYO-MiX
作曲：苑迪萌@HOYO-MiX
作词：哈尼/项柳/三宝
演唱：谭维维",147,1,原神,401742377,963125018,1368231,3769,4634,20647,38341,8902,112459,0,0,0,1368231,1327730886,https://b23.tv/BV1cH4y1B7rH,上海
39,BV16a4y1Q7by,1,228,人文历史,http://i0.hdslb.com/bfs/archive/41b2aa5dfd8a30c9f93055c4dd9877d48adb0728.jpg,三国灭爸为什么活不长？【小约翰】,1699585200,1699541549,本篇为小约翰之吕布。,1149,0,小约翰可汗,23947287,663222212,3804278,21688,5843,46519,72118,10712,327448,0,1,0,3804278,1327002387,https://b23.tv/BV16a4y1Q7by,江苏
40,BV1iz4y1w7e2,1,171,电子竞技,http://i1.hdslb.com/bfs/archive/0bb149e073de2005357163e03a916ca0a0147d6f.jpg,【S13全球总决赛】11月12日 饭堂零时差,1699796506,1699796506,【S13全球总决赛】11月12日 饭堂零时差,4437,0,哔哩哔哩英雄联盟赛事,50329118,578361208,586684,12993,2873,1403,1391,648,13751,0,0,0,586684,1330188795,https://b23.tv/BV1iz4y1w7e2,上海
41,BV1Nw411W7Br,1,17,单机游戏,http://i1.hdslb.com/bfs/archive/616d342677f8549dbbc4b791a6ab75111ee81d93.jpg,植物大战僵尸 随机模仿者,1699787627,1699787627,我说什么来什么！植物大战僵尸 随机模仿者，随机卡片，随机僵尸,1208,0,鲤鱼Ace,15634833,323320365,350664,6092,1164,8396,6507,362,26181,0,0,0,350664,1330014480,https://b23.tv/BV1Nw411W7Br,吉林
42,BV1MH4y1z7n6,1,249,足球,http://i1.hdslb.com/bfs/archive/1a49a14125657ae6d0aa1beebd15c81d8f93d352.jpg,双蓝大战酣畅淋漓！切尔西4:4绝平曼城，哈兰德双响+助攻，斯特林破门+表现出色，阿坎吉、罗德里建功,1699824609,1699824609,热知识，在本场比赛开始之前，切尔西近6场比赛对阵曼城战绩为6连败，且没有打进1球,913,0,友利Mori,279704683,963373492,202456,1808,899,933,1483,1007,8825,0,0,0,202456,1330441462,https://b23.tv/BV1MH4y1z7n6,浙江
43,BV1Tw411T78u,1,220,动物二创,http://i2.hdslb.com/bfs/archive/98bb47405d298d02893a0fc860584fbcb5125130.jpg,《动物迷惑行为大赏180》,1699833600,1699795412,喜欢请来个三连啊 谢谢啦！,339,0,龙馍馍,11164088,278257684,166249,662,126,755,831,385,13774,0,0,0,166249,1330151600,https://b23.tv/BV1Tw411T78u,安徽
44,BV1dg4y1X7Mz,1,183,影视剪辑,http://i0.hdslb.com/bfs/archive/db19ed09bd6108ab39349b844115d05f3e97171a.jpg,“至此，艺术大成”,1699608872,1699608872,,84,0,小弟韦恩,672643223,833163101,1164098,402,1524,23438,18191,2473,86559,0,0,0,1164098,1327732137,https://b23.tv/BV1dg4y1X7Mz,广东
45,BV1WN4y1U7zc,1,236,竞技体育,http://i2.hdslb.com/bfs/archive/66f00739bb55f3f4cf50a9b7f8dd16043e50055f.jpg,老登：这条鱼卖了得十来斤。                         小朋友：妈妈那个老登说要卖了我,1699761143,1699761143,-,104,0,笨小海涛,3.54656E+15,875832378,846224,696,443,4651,2122,2528,129153,0,0,0,846224,1329280235,https://b23.tv/BV1WN4y1U7zc,山东
46,BV1ub4y1g7NE,1,27,综合,http://i2.hdslb.com/bfs/archive/460138ee088484ae691abbf02137251a008b0196.jpg,⚡学 谁 呢 你⚡,1699774200,1699718193,剪辑：@鸡大崽Official  感谢！,249,0,亮_Sama,412630000,620839667,592528,463,304,5155,1679,1330,52279,0,0,0,592528,1329294419,https://b23.tv/BV1ub4y1g7NE,山西
47,BV1Fw411W7ms,1,172,手机游戏,http://i0.hdslb.com/bfs/archive/1547f3c0dc89414ddff432c14cd0f70ffc991c01.jpg,"耗资十万,基本完工【崩坏3Galgame进度汇报】",1699696800,1699688954,"崩坏3Galgame，需要您的参与和支持！
在这关键时刻，我们热烈欢迎每一位有志之士的加入。
时光荏苒，接近一年，我们经历了低谷，经历过解散。
共同的意志将我们链接在一起。
共同的梦想让我们攀上新的高峰。
崩坏3GAL制作组，一如既往。
我们将会不断前进！",113,1,崩坏3Galgame制作组,3.53711E+15,323271655,236703,438,1087,7291,14098,2279,30141,0,0,0,236703,1328729304,https://b23.tv/BV1Fw411W7ms,北京
48,BV1fQ4y1874p,1,172,手机游戏,http://i1.hdslb.com/bfs/archive/2c3f1768a86638f6e8efd01de0f9812fcaf8ea1f.jpg,芙宁娜传说任务.zip,1699786800,1699786801,"芙宁娜传说任务的有损压缩，来辣！
芙芙，你是自由哒！
...
（这系列视频是根据游戏剧情的鬼畜整活，很多地方跟游戏内的剧情有出入，体验正常剧情还是要上游戏哦）",231,0,菜鸟阿彪,2008066013,705869533,391855,864,905,5449,5888,2952,34948,0,0,0,391855,1330018166,https://b23.tv/BV1fQ4y1874p,湖北
49,BV1MC4y1E7hs,1,171,电子竞技,http://i0.hdslb.com/bfs/archive/c11c7f2c3c7fdac97de637216651254960c7bed9.jpg,最后一战！WBG能否成功弑神？难道他的上限真是冠军？【S13分析】WBG VS BLG,1699801123,1699801123,,672,0,徐桑,55051092,748290575,322249,794,2349,891,1699,216,12380,0,0,0,322249,1330273554,https://b23.tv/BV1MC4y1E7hs,上海
50,BV1eN411M7Ei,1,182,影视杂谈,http://i1.hdslb.com/bfs/archive/88e95fa9061825fb5121b70354945e048bb4b309.jpg,太真实了！这部剧戳穿多少年轻人的残酷困境？,1699783042,1699783043,"在这个不停内耗的世界里，这部剧让我真真切切地感受到了治愈的力量。灯火阑珊，人山人海，有家回，有人陪，有饭吃，有觉睡，日子渺小重复，却是难得的幸福。喜欢的话欢迎一键三连。生活汹涌，祝你好运 :D 
我们下期视频，很快再见！",596,0,三代鹿人,5870268,493374896,383626,1661,1067,4665,7417,2322,31750,0,0,0,383626,1329956942,https://b23.tv/BV1eN411M7Ei,天津
51,BV1F94y1G7Tw,1,256,短片,http://i0.hdslb.com/bfs/archive/eb21ab75cfc8f5b1065ff8a1dee4845c1b5cf3bf.jpg,中国文化，遥遥领先,1699779903,1699779903,-,147,0,命硬的小裴本人,668942262,365857475,210516,271,332,3175,1421,516,28255,0,0,0,210516,1329908512,https://b23.tv/BV1F94y1G7Tw,俄罗斯
52,BV14u4y187Rg,1,121,GMV,http://i2.hdslb.com/bfs/archive/0f661666460308051d216ebac2d9cb6f5fed3104.jpg,这一刻水神无愧于正义之名，芙宁娜比肩神明！【原神 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】,1699524741,1699524741,"游戏名：原神
bgm：澤野弘之 - Call of Silence (DJ Clear Sky版)
素材来自原神官方PV以及原神游戏CG.
这次枫丹的新剧情真的精彩",162,0,伊零Onezero,293753863,918158839,1720181,2849,2623,104519,72234,16990,279033,0,3,0,1720181,1326712770,https://b23.tv/BV14u4y187Rg,湖北
53,BV1ZG411Q7er,1,251,三农,http://i2.hdslb.com/bfs/archive/53a46b86657f25b5ddca81fdd81e41c0590faa03.jpg,这辣白菜第一了,1699687840,1699687840,-,375,0,八零徐姥姥,3.4933E+15,408335817,2117248,2819,1777,8507,9430,2526,178593,0,19,0,2117248,1328726326,https://b23.tv/BV1ZG411Q7er,北京
54,BV1yC4y1U78a,1,95,数码,http://i0.hdslb.com/bfs/archive/e846ba7647e7ef7272d180175e049dff05ad6657.jpg,【首发开箱】PS5 Slim 来了！新版有什么变化，现场拆机看看！,1699800433,1699800433,PS5，PS5 新机型，PS5 Slim，现在开箱！,394,0,贪玩歌姬小宁子,27899754,790773198,277219,1527,828,1789,3311,2186,13030,0,0,0,277219,1330246728,https://b23.tv/BV1yC4y1U78a,上海
55,BV1EN4y1D7ef,1,162,绘画,http://i0.hdslb.com/bfs/archive/cbdee9da9db01d622c2a24175fd13582d4cce84f.jpg,突然降温咋画捏?,1699597859,1699597859,跟东叔学画突然降温,151,0,超正经东叔,75845535,875714120,1477996,1544,1688,29339,13993,11124,211233,0,10,0,1477996,1327546112,https://b23.tv/BV1EN4y1D7ef,吉林
56,BV11g4y197Ux,1,21,日常,http://i2.hdslb.com/bfs/archive/397297795c21b9f0db3e6af6b64e8c9d14cdc5bf.jpg,当年历史课老师聊的课外话题，使我至今受益匪浅,1699785240,1699760358,-,47,0,糯米滋滋捏捏,14690240,833327060,479782,81,691,10309,1491,3275,53653,0,0,0,479782,1329613336,https://b23.tv/BV11g4y197Ux,福建
57,BV1Lb4y1g7xp,1,215,美食记录,http://i0.hdslb.com/bfs/archive/39707b01a3d39c1e2657cc27777fec16b5901720.jpg,老朋友来家了，胖龙做个《羊排三鲜》招待，美美吃上一顿,1699782536,1699782537,老朋友来家了，胖龙做个《羊排三鲜》招待，美美吃上一顿,432,0,胖龙的小生活,649661652,620834135,572445,2102,815,701,2685,282,20033,0,0,0,572445,1329949700,https://b23.tv/BV1Lb4y1g7xp,河南
58,BV1jg4y1Q7Pg,6,171,电子竞技,http://i0.hdslb.com/bfs/archive/f3d6b9a6c3d87ae6760c13cea0f075f575d7cefd.jpg,【2023全球总决赛】11月11日 半决赛 WBG vs BLG,1699693697,1699693697,【2023全球总决赛】11月11日 半决赛 WBG vs BLG,16833,0,哔哩哔哩英雄联盟赛事,50329118,833362393,4114613,72494,17401,7183,13850,2687,49437,0,77,0,4114613,1328869685,https://b23.tv/BV1jg4y1Q7Pg,上海
